_RAJ2000,_DEJ2000,_V,RAJ2000,DEJ2000,2MASS,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Qflg,Rflg,Bflg,Cflg,Xflg,Aflg
53.282884,30.814745,VizieR,53.282884,30.814745,03330789+3048530,17.162,0.268,16.237,0.244,15.669,0.183,DDC,222,111,000,0,0
53.264832,30.81916,VizieR,53.264832,30.81916,03330355+3049089,15.857,0.08,15.343,0.113,14.998,0.102,ABA,222,111,000,0,0
53.286281,30.825745,VizieR,53.286281,30.825745,03330870+3049326,16.6,0.151,15.828,0.172,15.808,0.199,BCC,222,111,000,0,0
53.266914,30.82568,VizieR,53.266914,30.82568,03330405+3049324,17.031,0.214,15.877,0.176,15.814,0.21,CCC,222,111,000,0,0
53.289894,30.820528,VizieR,53.289894,30.820528,03330957+3049139,15.286,0.05,14.668,0.058,14.572,0.077,AAA,222,111,000,0,0
53.241405,30.807018,VizieR,53.241405,30.807018,03325793+3048252,15.877,0.079,15.025,0.083,14.934,0.098,AAA,222,111,000,0,0
53.236879,30.805986,VizieR,53.236879,30.805986,03325685+3048215,17.067,0.224,16.083,0.184,15.868,0.221,DCD,222,111,000,0,0
53.232411,30.828705,VizieR,53.232411,30.828705,03325577+3049433,14.704,0.037,14.103,0.044,13.991,0.048,AAA,222,111,000,0,0
53.232597,30.817444,VizieR,53.232597,30.817444,03325582+3049027,14.734,0.036,14.22,0.046,13.97,0.049,AAA,222,111,000,0,0
53.227121,30.82925,VizieR,53.227121,30.82925,03325450+3049453,16.687,0.163,16.621,,15.856,0.222,CUD,202,101,000,0,0
53.253661,30.828655,VizieR,53.253661,30.828655,03330087+3049431,9.369,0.022,8.572,0.023,8.324,0.018,AAA,212,111,000,0,0
53.250825,30.823883,VizieR,53.250825,30.823883,03330019+3049259,13.902,0.027,13.263,0.031,13.07,0.024,AAA,222,121,0c0,0,0
53.250867,30.825329,VizieR,53.250867,30.825329,03330020+3049311,15.175,,15.53,0.135,15.25,0.131,UBB,22,21,0cc,0,0
53.249922,30.838762,VizieR,53.249922,30.838762,03325998+3050195,16.499,0.142,15.94,0.178,15.341,0.148,BCB,222,111,000,0,0
53.249696,30.836082,VizieR,53.249696,30.836082,03325992+3050098,16.696,0.169,16.302,0.248,15.603,0.172,CDC,222,111,ccc,0,0
53.278631,30.845627,VizieR,53.278631,30.845627,03330687+3050442,16.209,0.104,15.376,0.113,15.378,0.138,ABB,222,111,000,0,0
53.260663,30.838816,VizieR,53.260663,30.838816,03330255+3050197,16.881,0.198,15.99,0.184,15.736,0.2,CCC,222,111,000,0,0
53.260124,30.848063,VizieR,53.260124,30.848063,03330242+3050530,16.548,0.15,15.724,0.16,15.168,0.129,BCB,222,111,000,0,0
52.920432,30.551214,VizieR,52.920432,30.551214,03314090+3033043,16.803,,15.68,0.159,15.263,0.14,UCB,22,11,000,0,0
52.948345,30.555958,VizieR,52.948345,30.555958,03314760+3033214,17.182,0.259,16.293,0.234,15.86,0.205,DDC,222,111,000,0,0
52.885889,30.545813,VizieR,52.885889,30.545813,03313261+3032449,14.143,0.028,13.623,0.037,13.464,0.034,AAA,222,111,000,0,0
52.894565,30.56514,VizieR,52.894565,30.56514,03313469+3033545,15.6,0.067,14.696,0.066,14.425,0.066,AAA,222,111,000,0,0
52.890961,30.564037,VizieR,52.890961,30.564037,03313383+3033505,14.716,0.036,13.832,0.038,13.52,0.033,AAA,222,111,000,0,0
52.87848,30.56419,VizieR,52.87848,30.56419,03313083+3033510,15.975,0.086,15.315,0.116,14.966,0.096,ABA,222,111,000,0,0
52.924972,30.588972,VizieR,52.924972,30.588972,03314199+3035202,15.777,0.077,14.935,0.081,14.636,0.08,AAA,222,111,000,0,0
52.896883,30.579124,VizieR,52.896883,30.579124,03313525+3034448,15.407,0.049,14.95,0.087,14.645,0.083,AAA,222,111,000,0,0
52.905678,30.585693,VizieR,52.905678,30.585693,03313736+3035084,14.623,0.035,14.022,0.039,13.885,0.045,AAA,222,111,000,0,0
52.905216,30.570871,VizieR,52.905216,30.570871,03313725+3034151,12.186,0.021,11.574,0.021,11.495,0.021,AAA,222,111,000,0,0
52.959457,30.581621,VizieR,52.959457,30.581621,03315026+3034538,16.015,0.084,15.553,0.124,15.282,0.112,ABB,222,111,000,0,0
52.963657,30.583708,VizieR,52.963657,30.583708,03315127+3035013,16.458,0.125,15.898,0.168,15.279,0.123,BCB,222,111,000,0,0
52.958528,30.567944,VizieR,52.958528,30.567944,03315004+3034045,16.382,0.121,15.435,0.118,15.206,0.122,BBB,222,111,000,0,0
52.956569,30.592228,VizieR,52.956569,30.592228,03314957+3035320,15.709,0.07,15.042,0.075,14.931,0.095,AAA,222,111,000,0,0
52.996584,30.604094,VizieR,52.996584,30.604094,03315918+3036147,16.125,0.101,15.44,0.111,15.217,0.119,ABB,222,111,ccc,0,0
52.995092,30.602591,VizieR,52.995092,30.602591,03315882+3036093,15.128,0.04,14.601,0.058,14.259,0.05,AAA,222,111,000,0,0
52.995619,30.606495,VizieR,52.995619,30.606495,03315894+3036233,11.456,0.021,11.034,0.022,10.905,0.019,AAA,222,111,000,0,0
52.964368,30.604832,VizieR,52.964368,30.604832,03315144+3036173,14.753,0.036,14.347,0.042,14.073,0.052,AAA,222,111,000,0,0
