_RAJ2000,_DEJ2000,_V,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g'mag,e_g'mag,r'mag,e_r'mag,i'mag,e_i'mag
52.43545008,30.94476402,VizieR,52.43545,30.944764,0.382,0.269,20180020,7,104,1.318,0.076,13.204,0.022,14.522,0.073,13.876,0.069,12.701,0.012,12.086,0.062
52.44298005,30.94560599,VizieR,52.44298,30.945606,0.414,0.886,20180084,2,3,,,,,,,,,,,,
52.39639306,31.01262105,VizieR,52.396393,31.012621,0.95,0.92,20121442,5,18,1.144,0.344,16.318,0.064,17.462,0.338,17.09,0.094,15.653,0.021,14.743,0.141
51.6965189,30.49192095,VizieR,51.696519,30.491921,0.796,0.799,20121442,6,59,1.179,0.187,15.52,0.054,16.699,0.179,16.122,0.067,14.95,0.025,14.403,0.084
51.78175902,30.45233405,VizieR,51.781759,30.452334,0.723,0.634,20121442,5,42,1.021,0.179,15.273,0.019,16.294,0.178,15.777,0.074,14.908,0.039,14.509,0.074
51.78185701,30.45226204,VizieR,51.781857,30.452262,0.962,0.884,20180080,2,45,,,,,,,,,,,,
51.78598595,30.48407698,VizieR,51.785986,30.484077,1.042,0.969,20121442,4,17,1.349,0.235,16.228,0.008,17.577,0.235,16.861,0.058,15.832,0.15,15.377,0.141
51.80002594,30.46690094,VizieR,51.800026,30.466901,0.824,1.046,20151441,2,7,0.839,0.0,16.496,0.0,17.335,0.0,17.004,0.046,16.139,0.209,15.748,0.0
51.8233881,30.492993,VizieR,51.823388,30.492993,0.707,0.82,20121442,6,78,1.18,0.089,15.1,0.011,16.28,0.088,15.651,0.085,14.697,0.042,14.284,0.064
51.813869,30.49096298,VizieR,51.813869,30.490963,0.603,0.686,20180026,7,89,1.22,0.12,14.773,0.041,15.993,0.113,15.396,0.095,14.365,0.03,13.885,0.06
51.71186399,30.49337697,VizieR,51.711864,30.493377,0.623,0.584,20180027,7,91,0.972,0.111,14.847,0.048,15.819,0.1,15.321,0.08,14.479,0.04,14.088,0.067
51.71186996,30.493379,VizieR,51.71187,30.493379,0.772,0.807,20180027,3,45,,,,,,,,,,,,
